Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,NameASCII,PlayerId,MLBAMID
"Tayler Montiel","TULN",22,43.1,11.21538494448691,2.907692393015125,3.85714286,0.8307692551471785,0.2967033,0.07692308,0.21978022,0.18238994,0.9923077214257966,0.24752475,0.68965517,3.5307693343755084,4.259644517164965,-0.7288751827894564,"Tayler Montiel","sa3038267",
"Kade Finazzo","CBU",,4.1,8.30769200296798,4.15384600148399,2,2.076923000741995,0.2,0.1,0.1,0.16666667,1.1538461115233307,0.15384615,0,6.230769002225986,6.962931583901133,-0.7321625816751469,"Kade Finazzo","sa3066053",
"Sean Finn","CONN",21,33,13.363636363636363,4.363636363636363,3.0625,0.5454545454545454,0.34751773,0.11347518,0.23404255,0.21138211,1.2727272727272727,0.33333333,0.75242718,3,3.7328430695967243,-0.7328430695967243,"Sean Finn","sa3031349",
"Jason DeCaro","UNC",,79.2,7.907950043233769,2.824267872583489,2.8,0.6778242894200374,0.20771513,0.07418398,0.13353116,0.23606557,1.217573260624882,0.28820961,0.74267782,3.5020921620035264,4.235596787337883,-0.7335046253343567,"Jason DeCaro","sa3029991",
"Nolan George","SJSU",22,71,7.098591549295775,2.2816901408450705,3.11111111,1.0140845070422535,0.18300654,0.05882353,0.12418301,0.28268551,1.380281690140845,0.32876712,0.65359477,4.816901408450704,5.555820884167309,-0.7389194757166049,"Nolan George","sa3032126",
"Robert Lastra","BCU",,31.1,6.893616881398609,4.595744587599073,1.5,0.8617021101748261,0.16901408,0.11267606,0.05633803,0.25409836,1.4999999695635862,0.29473684,0.57692308,6.319148807948725,7.058368617369073,-0.7392198094203479,"Robert Lastra","sa3059762",
"Gabe Craig","BAY",,32,14.34375,0.84375,17,0,0.45132743,0.02654867,0.42477876,0.12149533,0.5,0.23214286,0.84210526,0.5625,1.3017508506774904,-0.7392508506774904,"Gabe Craig","sa3029515",
"Ethan Dillinger","AFA",,37.2,9.557521801247326,5.734513080748395,1.66666667,1.4336282701870988,0.21390374,0.12834225,0.0855615,0.30379747,1.911504360249465,0.375,0.71428571,6.212389170810761,6.953303046551017,-0.7409138757402562,"Ethan Dillinger","sa3030338",
"Michael Dudolski","DAY",,23,4.695652173913044,3.9130434782608696,1.2,0.782608695652174,0.11428571,0.0952381,0.01904762,0.2826087,1.565217391304348,0.30769231,0.60773481,5.478260869565218,6.219231029178785,-0.7409701596135676,"Michael Dudolski","sa3065915",
"Jacob Vogel","IU",21,10.1,3.4838710749186568,3.4838710749186568,1,0,0.07843137,0.07843137,0,0.34090909,1.8387097339848468,0.375,0.77272727,4.354838843648321,5.095823286673778,-0.7409844430254573,"Jacob Vogel","sa3044546",
"Preston Prince","RUTG",21,21,9.428571428571429,12.857142857142858,0.73333333,0,0.21782178,0.2970297,-0.07920792,0.15942029,1.9523809523809523,0.23404255,0.6744186,5.571428571428571,6.3139492080325175,-0.7425206366039463,"Preston Prince","sa3040220",
"Jayden Brown","UAPB",,10.2,6.74999979883433,6.74999979883433,1,4.218749874271456,0.14035088,0.14035088,0,0.33333333,2.2499999329447764,0.31428571,0.61111111,11.812499647960077,12.555708863586194,-0.7432092156261163,"Jayden Brown","sa3027845",
"Carson Keithley","ARST",23,23.1,9.642856880110145,3.471428476839652,2.77777778,1.542857100817623,0.25510204,0.09183673,0.16326531,0.25287356,1.328571392370731,0.31034483,0.76642336,4.628571302452869,5.372509629385813,-0.7439383269329438,"Carson Keithley","sa3035167",
"Kevin Robinson","NWST",,45,4.6,1.6,2.875,1,0.11557789,0.04020101,0.07537688,0.26737968,1.288888888888889,0.28301887,0.63636364,4.6,5.344626988304986,-0.7446269883049865,"Kevin Robinson","sa3040911",
"Noah Kendrick","SHSU",,53.1,4.725000112652781,3.3750000804662723,1.4,2.025000048279763,0.1124498,0.08032129,0.03212851,0.31277533,1.706250040680171,0.31550802,0.65616798,6.412500152885918,7.15754373341799,-0.7450435805320721,"Noah Kendrick","sa3035254",
