Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Logan Danzeisen","TOL",23,0,0,6.545454545454546,9,0,0,0,0,11,56,13,11,8,1,8,1,0,0,11,"Logan Danzeisen","sa3029837",
"Lawrence Elinson","LIU",,0,0,5.6842103836609095,8,0,0,0,0,12.2,64,18,9,8,0,7,1,4,0,11,"Lawrence Elinson","sa3030872",
"Brooks Ey","BRY",23,2,0,8.181818181818182,11,0,0,0,1,11,57,7,12,10,1,8,9,3,0,11,"Brooks Ey","sa3031103",
"Zach Garber","NEV",23,2,0,5.906249823980039,12,0,0,0,0,10.2,51,9,7,7,1,3,7,4,0,11,"Zach Garber","sa3031907",
"Arnav Ghuliani","MAN",,0,0,12.405405725154509,8,0,0,0,0,12.1,62,18,17,17,3,3,2,3,0,11,"Arnav Ghuliani","sa3032162",
"OJ Gonzalez","ACU",19,0,0,6.352941354665794,10,0,0,0,0,11.1,62,14,8,8,3,9,1,1,0,11,"OJ Gonzalez","sa3032437",
"Cade Granzow","BEL",22,0,1,14.936169909696986,9,2,0,0,0,15.2,94,21,27,26,4,19,7,6,0,11,"Cade Granzow","sa3032587",
"Cole Hentschel","UK",23,2,3,2.8421051918304547,15,0,0,0,0,12.2,51,7,4,4,2,6,1,2,0,11,"Cole Hentschel","sa3033652",
"Jack Iannibelli","GWEB",21,2,1,14.25,14,0,0,0,0,12,77,22,21,19,1,13,5,1,0,11,"Jack Iannibelli","sa3034398",
"Dylan Jacobs","STET",22,0,2,7.232143103468183,9,6,0,0,0,18.2,83,20,15,15,3,6,1,0,0,11,"Dylan Jacobs","sa3034531",
"Garfield Johns","USA",23,0,0,10.8,13,0,0,0,0,10,51,11,12,12,0,7,4,0,0,11,"Garfield Johns","sa3034750",
"Jett Johnston","AUB",20,4,0,4.764706015999345,11,0,0,0,1,11.1,51,7,7,6,4,8,2,2,0,11,"Jett Johnston","sa3034766",
"Torin Kassebaum","LIU",,1,1,2.596153750927494,12,0,0,0,1,17.1,74,12,7,5,1,6,3,0,0,11,"Torin Kassebaum","sa3035106",
"Noah Keller","COR",21,1,1,19.384615384615383,10,2,0,0,0,13,88,15,29,28,4,30,7,6,0,11,"Noah Keller","sa3035193",
"Dylan Kerbow","TXST",,0,0,6.942856953679304,11,0,0,0,0,11.2,60,18,12,9,2,6,2,0,0,11,"Dylan Kerbow","sa3035296",
"Anthony Klein","SEMO",,0,2,3.4615384615384617,11,0,0,0,0,13,54,9,5,5,1,8,0,2,0,11,"Anthony Klein","sa3035482",
"Quin Konuszewski","CMU",22,0,0,7.941176693332243,15,0,0,0,1,11.1,64,15,10,10,1,9,1,0,1,11,"Quin Konuszewski","sa3035631",
"Tommy Lamar","LEH",22,2,0,12.6,12,0,0,0,1,15,87,24,22,21,2,17,4,3,0,11,"Tommy Lamar","sa3035864",
"Luke Lyman","WVU",21,1,1,9,10,0,0,0,0,8,42,5,9,8,1,10,2,2,0,11,"Luke Lyman","sa3036737",
"JB Manarchuck","MSM",21,0,0,10.8,3,2,0,0,0,10,47,14,12,12,4,3,1,0,0,11,"JB Manarchuck","sa3036948",
"Jacob Marlowe","FSU",22,1,0,9.281249723397204,8,1,0,0,0,10.2,54,17,11,11,3,5,1,0,0,11,"Jacob Marlowe","sa3037069",
"Tyler Mejia","CSUN",,0,2,16.67647105599771,13,1,0,0,1,11.1,73,18,22,21,5,18,5,3,0,11,"Tyler Mejia","sa3037807",
