Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Tyler Shaneyfelt","NKU",,279,0.150537634,0.129032258,1.166666666,0.324324324,0.45289855,0.423423423,0.876321973,0.099099099,9.081888078629294,0.371584699,6.018386147217825,60.22147176027544,12.972157064678749,0.4314784027528072,127.45469886336294,"Tyler Shaneyfelt","sa3042057",
"Norris McClure","UTSA",23,240,0.075,0.183333333,0.409090909,0.35609756,0.424369747,0.497560975,0.921930722,0.141463415,6.788476325763126,0.41875,0.7747623696923256,48.790902256877835,10.505129456432279,0.4252309781663558,127.43872903176718,"Norris McClure","sa3059959",
"Aidan Sengenberger","STO",,184,0.157608695,0.173913043,0.90625,0.32,0.434782608,0.473333333,0.908115941,0.153333333,5.247078932781266,0.373913043,-0.999649703502655,39.02424951262599,8.36627896494991,0.43206181344778644,127.2890827915029,"Aidan Sengenberger","sa3041989",
"Jack Spyke","WCU",22,226,0.128318584,0.128318584,1,0.340314136,0.431111111,0.560209424,0.991320535,0.219895288,4.613388613511237,0.369426751,-0.6272938400506973,50.56105037983636,10.81668978389482,0.4433560638957553,127.2156593330611,"Jack Spyke","sa3042887",
"Nick Sturino","FAIR",,250,0.216,0.196,1.102040816,0.26519337,0.436734693,0.458563535,0.895298228,0.193370165,4.422809913451977,0.325757575,-2.313704301370308,51.63729761083334,11.045998076989347,0.42758622534421026,127.21272342556924,"Nick Sturino","sa3043285",
"Mikey Murphy","CMU",,197,0.131979695,0.233502538,0.565217391,0.310975609,0.418367346,0.560975609,0.979342955,0.25,8.153667486000437,0.387387387,-1.9109034354332834,43.07831355998319,9.182758168075495,0.4357781759938415,127.0913341348223,"Mikey Murphy","sa3038590",
"Michael Gupton","SAM",21,217,0.050691244,0.276497695,0.183333333,0.333333333,0.400921658,0.630208333,1.031129991,0.296875,7.158082911335523,0.411764705,-0.4437444657087326,48.474600446421874,10.312979874212514,0.4430126572534236,127.02448093025376,"Michael Gupton","sa3032858",
"AJ Salgado","UCLA",23,260,0.123076923,0.192307692,0.64,0.310185185,0.415384615,0.587962962,1.003347577,0.277777777,8.684861729417008,0.350318471,1.4850500654429197,57.68701197224429,12.270039037044562,0.438277612053431,127.01641752864346,"AJ Salgado","sa3041439",
"Brooks Bryan","TROY",20,276,0.134057971,0.260869565,0.513888888,0.279475982,0.398550724,0.532751091,0.931301815,0.253275109,5.497336218764589,0.356164383,0.46979237347841263,54.3375716353582,11.551710679643023,0.4199678662462511,126.99889734975635,"Brooks Bryan","sa3027921",
"Andrew Kanellis","FOR",,259,0.111969111,0.216216216,0.517857142,0.349056603,0.447876447,0.509433962,0.957310409,0.160377359,4.910329743058138,0.431372549,-1.247805017977953,58.467122862038465,12.42732016175732,0.44434538380059496,126.99255738053245,"Andrew Kanellis","sa3035058",
"Keon Moseni","CARK",,211,0.170616113,0.227488151,0.75,0.289156626,0.440758293,0.385542168,0.826300461,0.096385542,2.8840962806290875,0.391304347,-1.1696785418316722,39.9330912256839,8.47516893094799,0.4136610881412199,126.94128636831876,"Keon Moseni","sa3060097",
"Alex Richter","BALL",,271,0.132841328,0.188191881,0.705882352,0.248756218,0.424354243,0.55721393,0.981568173,0.308457712,5.952936625257935,0.239130434,-1.7940100826672278,59.15459812059105,12.526702124616506,0.43539559533235334,126.86525277850399,"Alex Richter","sa3060363",
"TJ Schmalzle","FAIR",,251,0.167330677,0.143426294,1.166666666,0.279792746,0.428,0.481865284,0.909865284,0.202072538,7.634978756380397,0.300653594,2.2213672201614827,51.68308753891782,10.929422806938444,0.42695291447639466,126.81825764337246,"TJ Schmalzle","sa3041716",
"Trey Hawsey","LT",,193,0.160621761,0.170984455,0.939393939,0.294871794,0.430051813,0.512820512,0.942872325,0.217948718,1.895042384930934,0.324561403,-0.6531003285199404,41.08010259367036,8.677646578321923,0.4312715657016774,126.78082974392895,"Trey Hawsey","sa3059440",
"Jermel Ford","ALCN",,144,0.090277777,0.152777777,0.59090909,0.376,0.447552447,0.504,0.951552447,0.128,10,0.451923076,5.704079952090979,33.90378389759451,7.161061386303009,0.450853621209418,126.77760793905486,"Jermel Ford","sa3031543",
"Mikey Urbaniak","LONG",19,201,0.179104477,0.228855721,0.782608695,0.294117647,0.455,0.470588235,0.925588235,0.176470588,8.002922724362762,0.4,0.3790771756321192,47.478442548812396,10.009248836935528,0.440671826004982,126.713275214574,"Mikey Urbaniak","sa3065439",
"Aaron Whitley","RICH",23,256,0.078125,0.0859375,0.909090909,0.333333333,0.43359375,0.539906103,0.973499853,0.20657277,7.987647772274379,0.338709677,3.652674339711666,57.640127637917715,12.133604505593498,0.44377921195700765,126.66344003102876,"Aaron Whitley","sa3045142",
"Tatum Marsh","STAN",,212,0.051886792,0.113207547,0.458333333,0.377142857,0.459330143,0.525714285,0.985044428,0.148571428,5.748660970221849,0.414473684,-3.0538471695035696,49.215731241955034,10.34383867050575,0.44942234520706836,126.6100721787421,"Tatum Marsh","sa3059925",
"Dean West","UCLA",20,299,0.153846153,0.086956521,1.769230769,0.317391304,0.471380471,0.430434782,0.901815253,0.113043478,6.269179181071536,0.345,0.1665993626229465,66.09389478461158,13.864375909131882,0.43741416931152344,126.54509596802131,"Dean West","sa3045030",
"Eric Chorba","MERC",,231,0.112554112,0.225108225,0.5,0.321243523,0.430434782,0.47150259,0.901937372,0.150259067,5.365427388744464,0.414814814,0.3413645178079605,48.68979495214022,10.2007123623947,0.43085781206255375,126.5028721809868,"Eric Chorba","sa3028871",
"Carter Sintek","SDST",,241,0.070539419,0.099585062,0.708333333,0.357798165,0.406639004,0.467889908,0.874528912,0.110091743,4.6788228705657815,0.386597938,-1.0118822164367884,45.61307793830817,9.552931412805968,0.40980801790087057,126.49165999935694,"Carter Sintek","sa3042364",
"Kameron Douglas","ALST",20,277,0.119133574,0.212996389,0.559322033,0.334763948,0.418772563,0.639484978,1.058257541,0.30472103,5.611698944044628,0.374233128,0.28685938846319914,65.04888595207922,13.60628778799764,0.4503201069814634,126.44945681903343,"Kameron Douglas","sa3030508",
"Justin Lebron","ALA",,281,0.12455516,0.241992882,0.514705882,0.316017316,0.421428571,0.636363636,1.057792207,0.32034632,7.4147342340396785,0.369127516,2.3363080378621817,65.66794254501296,13.705573833183774,0.44876879411084314,126.3759604747651,"Justin Lebron","sa3036129",
"Jaxon Holder","SIU",22,202,0.153465346,0.133663366,1.148148148,0.329341317,0.435643564,0.520958083,0.956601647,0.191616766,8.075041733950737,0.360294117,1.7964262384921312,44.02838565827675,9.185077418101502,0.43223602228825636,126.36109451717006,"Jaxon Holder","sa3033961",
