Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Ryan Niedzwiedz","SIUE",20,243,0.12345679,0.12345679,1,0.331658291,0.433884297,0.537688442,0.971572739,0.206030151,5.483556791931484,0.351515151,0.23139576613903046,54.356938452645835,13.541509867831765,0.43925237433969483,133.17742906874696,"Ryan Niedzwiedz","sa3038865",
"James Newsome","VMI",23,92,0.25,0.336956521,0.741935483,0.283582089,0.478260869,0.47761194,0.955872809,0.194029851,5.131398056507292,0.484848484,-0.7858285456895828,21.546667869821313,5.36754762722564,0.45406198760737543,133.17576942839077,"James Newsome","sa3038821",
"Braxton Tramel","ECU",,61,0.049180327,0.311475409,0.157894736,0.345454545,0.383333333,0.618181818,1.001515151,0.272727273,2.734212893841804,0.454545454,0.10787494480609894,12.957587428282144,3.2266201748355665,0.43524612685044606,133.1582677322518,"Braxton Tramel","sa3060782",
"Walker Zapp","AFA",,231,0.112554112,0.19047619,0.59090909,0.329949238,0.419913419,0.578680203,0.998593622,0.248730965,7.859068927318884,0.391891891,-0.2318420708179474,51.9882739728566,12.939894119488788,0.43433622054723436,133.13810756830352,"Walker Zapp","sa3045803",
"Griffin Mills","NU",,23,0.173913043,0.260869565,0.666666666,0.315789473,0.434782608,0.578947368,1.013729976,0.263157895,5.203738643715635,0.416666666,0.1659033871255815,5.347300024975568,1.3296447268617448,0.44941341617833014,133.0950424613574,"Griffin Mills","sa3038100",
"Landon Penfield","COFC",18,257,0.143968871,0.186770428,0.770833333,0.286407766,0.41796875,0.54368932,0.96165807,0.257281554,6.484430287805843,0.331125827,-0.04397581424564123,56.60719083533026,14.072434696409474,0.43155097239650786,133.08455478255982,"Landon Penfield","sa3060234",
"Merik Carter","GWEB",21,219,0.210045662,0.136986301,1.533333333,0.309090909,0.479452054,0.436363636,0.91581569,0.127272727,5.353687299803493,0.368421052,-0.7361114255618304,54.32558213627234,13.50093824124231,0.4515262175368392,133.07055972357404,"Merik Carter","sa3062569",
"Jake Munroe","LOU",21,274,0.135036496,0.156934306,0.860465116,0.342465753,0.455882352,0.589041095,1.044923447,0.246575342,6.120711344595647,0.378698224,-1.5610156655311584,66.8261392824174,16.58605171365749,0.46175376194364887,133.0135804221228,"Jake Munroe","sa3060109",
"Kevin Milewski","HALL",,233,0.154506437,0.197424892,0.782608695,0.303191489,0.420600858,0.606382978,1.026983836,0.303191489,3.7454208018314548,0.315384615,-0.17889235820621252,52.993792026012464,13.12672690924935,0.446595418350891,132.9262434312725,"Kevin Milewski","sa3038018",
"Harry Painter","MRMK",,137,0.05839416,0.313868613,0.186046511,0.322580645,0.379562043,0.653225806,1.032787849,0.330645161,5.260122247769185,0.408450704,-0.5655201901681721,29.55306720686406,7.309035062317552,0.4366503170806996,132.85840900975987,"Harry Painter","sa3060197",
